# Time-averaged data for fix rdf_output
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
100 100
83 5.775 1.23725 24.1664
84 5.845 1.22298 25.1727
85 5.915 1.22852 26.2078
86 5.985 1.33941 27.3633
87 6.055 1.2865 28.4992
88 6.125 1.21317 29.5953
89 6.195 1.18929 30.6945
90 6.265 1.18765 31.8172
91 6.335 1.11629 32.8961
92 6.405 1.05011 33.9336
93 6.475 1.10645 35.0508
94 6.545 1.03141 36.1148
95 6.615 1.01786 37.1875
96 6.685 0.965437 38.2266
97 6.755 0.911407 39.2281
98 6.825 0.903951 40.2422
99 6.895 0.909572 41.2836
100 6.965 0.918129 42.3563
800 100
1 0.035 0 0
2 0.105 0 0
3 0.175 0 0
4 0.245 0 0
5 0.315 0 0
6 0.385 0 0
7 0.455 0 0
8 0.525 0 0
9 0.595 0 0
10 0.665 0 0
11 0.735 0 0
12 0.805 0 0
13 0.875 0 0
14 0.945 0 0
15 1.015 0 0
16 1.085 0 0
17 1.155 0 0
18 1.225 0 0
19 1.295 0 0
20 1.365 0 0
21 1.435 0 0
22 1.505 0 0
23 1.575 0 0
24 1.645 0 0
25 1.715 0 0
26 1.785 0 0
27 1.855 0 0
28 1.925 0 0
29 1.995 0 0
30 2.065 0 0
31 2.135 0 0
32 2.205 0.0133431 0.0015625
33 2.275 0.0250693 0.0046875
34 2.345 0.0117975 0.00625
35 2.415 0.0556179 0.0140625
36 2.485 0.115563 0.03125
37 2.555 0.168946 0.0578125
38 2.625 0.353066 0.116406
39 2.695 0.634199 0.227344
40 2.765 1.15408 0.439844
41 2.835 1.83234 0.794531
42 2.905 2.16024 1.23359
43 2.975 2.36399 1.7375
44 3.045 2.66938 2.33359
45 3.115 2.64771 2.95234
46 3.185 2.49743 3.5625
47 3.255 2.25034 4.13672
48 3.325 2.14779 4.70859
49 3.395 1.84905 5.22187
50 3.465 1.64541 5.69766
51 3.535 1.5134 6.15313
52 3.605 1.40778 6.59375
53 3.675 1.20094 6.98438
54 3.745 1.0547 7.34063
55 3.815 1.04978 7.70859
56 3.885 0.980054 8.06484
57 3.955 0.920784 8.41172
58 4.025 0.955113 8.78438
59 4.095 0.843427 9.125
60 4.165 0.845235 9.47813
61 4.235 0.777734 9.81406
62 4.305 0.633624 10.0969
63 4.375 0.703334 10.4211
64 4.445 0.738821 10.7727
65 4.515 0.751099 11.1414
66 4.585 0.692849 11.4922
67 4.655 0.832351 11.9266
68 4.725 0.838385 12.3773
69 4.795 1.00173 12.932
70 4.865 0.993674 13.4984
71 4.935 1.00831 14.0898
72 5.005 1.16548 14.793
73 5.075 1.11466 15.4844
74 5.145 1.13968 16.2109
75 5.215 1.12361 16.9469
76 5.285 1.21715 17.7656
77 5.355 1.11879 18.5383
78 5.425 1.2819 19.4469
79 5.495 1.29027 20.3852
80 5.565 1.29153 21.3484
81 5.635 1.28008 22.3273
82 5.705 1.27477 23.3266
83 5.775 1.15068 24.2508
84 5.845 1.20304 25.2406
85 5.915 1.24057 26.2859
86 5.985 1.21715 27.3359
87 6.055 1.23607 28.4273
88 6.125 1.18722 29.5
89 6.195 1.20873 30.6172
90 6.265 1.24137 31.7906
91 6.335 1.18095 32.932
92 6.405 1.0683 33.9875
93 6.475 1.0461 35.0438
94 6.545 1.05413 36.1313
95 6.615 1.0742 37.2633
96 6.685 0.998828 38.3383
97 6.755 0.943399 39.375
98 6.825 0.986128 40.4813
99 6.895 0.943007 41.5609
100 6.965 0.91746 42.6328
900 100
1 0.035 0 0
2 0.105 0 0
3 0.175 0 0
4 0.245 0 0
5 0.315 0 0
6 0.385 0 0
7 0.455 0 0
8 0.525 0 0
9 0.595 0 0
10 0.665 0 0
11 0.735 0 0
12 0.805 0 0
13 0.875 0 0
14 0.945 0 0
15 1.015 0 0
16 1.085 0 0
17 1.155 0 0
18 1.225 0 0
19 1.295 0 0
20 1.365 0 0
21 1.435 0 0
22 1.505 0 0
23 1.575 0 0
24 1.645 0 0
25 1.715 0 0
26 1.785 0 0
27 1.855 0 0
28 1.925 0 0
29 1.995 0 0
30 2.065 0 0
31 2.135 0 0
32 2.205 0 0
33 2.275 0 0
34 2.345 0.0117975 0.0015625
35 2.415 0.0111236 0.003125
36 2.485 0.0630346 0.0125
37 2.555 0.25342 0.0523438
38 2.625 0.456632 0.128125
39 2.695 0.768185 0.2625
40 2.765 1.20075 0.483594
41 2.835 1.57404 0.788281
42 2.905 2.00649 1.19609
43 2.975 2.21738 1.66875
44 3.045 2.54343 2.23672
45 3.115 2.66442 2.85938
46 3.185 2.57738 3.48906
47 3.255 2.21972 4.05547
48 3.325 2.15952 4.63047
49 3.395 1.9166 5.1625
50 3.465 1.9156 5.71641
51 3.535 1.79895 6.25781
52 3.605 1.42026 6.70234
53 3.675 1.2754 7.11719
54 3.745 1.21198 7.52656
55 3.815 1.06984 7.90156
56 3.885 0.894085 8.22656
57 3.955 0.97263 8.59297
58 4.025 0.784915 8.89922
59 4.095 0.791196 9.21875
60 4.165 0.805965 9.55547
61 4.235 0.850081 9.92266
62 4.305 0.686135 10.2289
63 4.375 0.62368 10.5164
64 4.445 0.732254 10.8648
65 4.515 0.763829 11.2398
66 4.585 0.785434 11.6375
67 4.655 0.791931 12.0508
68 4.725 0.852915 12.5094
69 4.795 0.880398 12.9969
70 4.865 0.922404 13.5227
71 4.935 0.983001 14.0992
72 5.005 1.0334 14.7227
73 5.075 1.06302 15.382
74 5.145 1.14581 16.1125
75 5.215 1.12361 16.8484
76 5.285 1.18463 17.6453
77 5.355 1.08259 18.393
78 5.425 1.18711 19.2344
79 5.495 1.1635 20.0805
80 5.565 1.29782 21.0484
81 5.635 1.3046 22.0461
82 5.705 1.31065 23.0734
83 5.775 1.27616 24.0984
84 5.845 1.28565 25.1562
85 5.915 1.26746 26.2242
86 5.985 1.18455 27.2461
87 6.055 1.28739 28.3828
88 6.125 1.23392 29.4977
89 6.195 1.17238 30.5813
90 6.265 1.20831 31.7234
91 6.335 1.16317 32.8477
92 6.405 1.1197 33.9539
93 6.475 1.15519 35.1203
94 6.545 1.09427 36.2492
95 6.615 1.04825 37.3539
96 6.685 0.977051 38.4055
97 6.755 0.981078 39.4836
98 6.825 0.997271 40.6023
99 6.895 1.0051 41.7531
100 6.965 1.01576 42.9398
1000 100
1 0.035 0 0
2 0.105 0 0
3 0.175 0 0
4 0.245 0 0
5 0.315 0 0
6 0.385 0 0
7 0.455 0 0
8 0.525 0 0
9 0.595 0 0
10 0.665 0 0
11 0.735 0 0
12 0.805 0 0
13 0.875 0 0
14 0.945 0 0
15 1.015 0 0
16 1.085 0 0
17 1.155 0 0
18 1.225 0 0
19 1.295 0 0
20 1.365 0 0
21 1.435 0 0
22 1.505 0 0
23 1.575 0 0
24 1.645 0 0
25 1.715 0 0
26 1.785 0 0
27 1.855 0 0
28 1.925 0 0
29 1.995 0 0
