################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1         29  -5.2299999999999999E-06   4.1699999999999999E-06  -1.0849999999999999E-05  -5.0467261076322240E-07   4.5389559329839235E-08   7.1287012071759998E-07
         1         30  -4.3599999999999998E-06  -1.1980000000000000E-05  -3.0800000000000002E-06  -5.0467282340389136E-07   4.5389562892961255E-08   1.6810209622500696E-06
         1         31  -4.3800000000000004E-06  -2.0840000000000000E-05   4.7899999999999999E-06  -5.0467261125154705E-07   7.1287012001243488E-07   4.5389559423514303E-08
         1         32   1.3930000000000000E-05   1.3169999999999999E-05   5.2299999999999999E-06  -5.0467252385444361E-07   7.1287000620590124E-07   7.1287000614778800E-07
         1         33   5.8999999999999996E-07   8.7299999999999994E-06   2.0700000000000001E-06  -5.0467273685420033E-07   7.1287030359648562E-07   1.6810207456308124E-06
         1         34  -7.6499999999999996E-06  -3.4999999999999999E-06  -5.3299999999999998E-06  -5.0467282403099389E-07   1.6810209621188858E-06   4.5389562899900149E-08
         1         35  -9.2900000000000008E-06  -3.4699999999999998E-06   1.7240000000000001E-05  -5.0467273599724694E-07   1.6810207451688842E-06   7.1287030464078915E-07
         1         36   1.6480000000000001E-05  -3.5800000000000000E-06  -6.7900000000000002E-06  -5.0467294936129559E-07   1.6810213997788143E-06   1.6810213995244183E-06
         1         37   1.3010000000000001E-05   7.4300000000000000E-06  -6.7999999999999995E-07  -2.7568726083948558E-07   4.5389585919680675E-08   4.5389586164276685E-08
         1         38   9.0699999999999996E-06  -1.0840000000000000E-05   1.9409999999999999E-05  -2.7568722126523892E-07   4.5389568737244645E-08   7.1287036299948897E-07
         1         39  -5.2700000000000004E-06  -4.6900000000000000E-06  -1.5540000000000000E-05  -2.7568730555111581E-07   4.5389572989051885E-08   1.6810214765817025E-06
         1         40   1.0230000000000000E-05  -8.8400000000000001E-06  -5.6500000000000001E-06  -2.7568722101543874E-07   7.1287036196125697E-07   4.5389568185602580E-08
         1         41   2.3599999999999999E-06   9.3600000000000002E-06  -1.1600000000000001E-05  -2.7568718169532908E-07   7.1287024753022288E-07   7.1287024750680411E-07
         1         42   4.4200000000000000E-06   3.4000000000000001E-06  -1.3999999999999999E-06  -2.7568726460210080E-07   7.1287054533193672E-07   1.6810212617275264E-06
         1         43  -1.4579999999999999E-05  -1.1100000000000000E-05  -2.0099999999999998E-06  -2.7568730610189052E-07   1.6810214767210591E-06   4.5389573259668747E-08
         1         44   2.2800000000000002E-06   4.5100000000000000E-06   1.3999999999999999E-06  -2.7568726577303915E-07   1.6810212607139130E-06   7.1287054591306909E-07
         1         45  -6.1999999999999999E-07  -3.1000000000000000E-07  -5.0900000000000004E-06  -2.7568735005978340E-07   1.6810219142339102E-06   1.6810219143348348E-06
         1         46  -5.9000000000000003E-06   9.4099999999999997E-06  -8.6600000000000001E-06  -1.6589212511195287E-06   4.5389570404313906E-08   4.5389571106876914E-08
         1         47  -1.1409999999999999E-05  -4.1099999999999996E-06   3.8600000000000003E-06  -1.6589210321540579E-06   4.5389553648619851E-08   7.1287047690229977E-07
         1         48   2.4130000000000001E-05  -1.2200000000000000E-06   1.1480000000000000E-05  -1.6589216907400908E-06   4.5389557553482396E-08   1.6810217637400204E-06
         1         49   5.9599999999999997E-06   1.1960000000000001E-05  -8.3100000000000001E-06  -1.6589210318608896E-06   7.1287047666637737E-07   4.5389553074426381E-08
         1         50  -2.2969999999999999E-05   1.8020000000000000E-05  -5.8900000000000004E-06  -1.6589208102768538E-06   7.1287036213646404E-07   7.1287036236978435E-07
