################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.9454419937994913E-01 a       224     0    12     1     4
 -1.8526010788930593E-03 a       225     0    12     1     5
 -9.8919192905378109E-02 a       226     0    12     1     6
  1.1551165529625683E-01 a       227     0    12     1     7
 -4.3502339103079435E-01 a       228     0    12     1     8
 -8.3358873158226932E-02 a       229     0    12     1     9
 -1.0223878707688818E+00 a       230     0    12     1    10
  5.2126798775724043E-02 a       231     0    12     1    11
 -6.1584739557808255E-01 a       232     0    12     1    12
  1.4535632999878962E+00 a       233     0    12     1    13
  3.6026318898133003E-01 a       234     0    12     1    14
 -2.6985890861694908E+00 a       235     0    12     1    15
 -1.5743107966423682E+00 a       236     0    12     1    16
  8.3733148354332598E-01 a       237     0    12     1    17
  2.9925316521574641E-01 a       238     0    12     1    18
  8.5352208053198889E-02 a       239     0    12     1    19
  9.4152728198576396E-01 a       240     0    12     1    20
  2.6050990264989767E-03 a       241     0    13     1     1
  5.2012524204100663E-01 a       242     0    13     1     2
 -7.5626882260220318E-01 a       243     0    13     1     3
 -1.0379550582224550E+00 a       244     0    13     1     4
 -7.1732406303354301E-01 a       245     0    13     1     5
  4.6757794054882090E-01 a       246     0    13     1     6
 -1.4306935484371633E-01 a       247     0    13     1     7
 -2.0863538489488392E-01 a       248     0    13     1     8
 -1.8792225816355532E-01 a       249     0    13     1     9
 -1.3814853305495489E+00 a       250     0    13     1    10
  2.1931449373587408E-01 a       251     0    13     1    11
 -8.8242356099911123E-01 a       252     0    13     1    12
  1.4543917876896433E+00 a       253     0    13     1    13
  5.6268313097167393E-02 a       254     0    13     1    14
 -2.4096977565545372E+00 a       255     0    13     1    15
 -1.9749439783870968E+00 a       256     0    13     1    16
  4.1363980127194588E-01 a       257     0    13     1    17
  2.7212281639784636E-01 a       258     0    13     1    18
  4.4421680264500031E-02 a       259     0    13     1    19
  5.5768934439760198E-01 a       260     0    13     1    20
  1.0813333620312503E-01 a       261     0    14     1     1
  6.2159106259164140E-02 a       262     0    14     1     2
 -5.2220437682544707E-01 a       263     0    14     1     3
 -8.8885332358700742E-01 a       264     0    14     1     4
 -5.5644700831165972E-01 a       265     0    14     1     5
  4.9542327029760097E-01 a       266     0    14     1     6
 -5.9200289054179032E-02 a       267     0    14     1     7
 -2.5132122119228462E-01 a       268     0    14     1     8
  3.3745489221776392E-01 a       269     0    14     1     9
 -1.0003419703886445E+00 a       270     0    14     1    10
 -8.3937862443054415E-02 a       271     0    14     1    11
 -2.6992443015553386E-01 a       272     0    14     1    12
  8.3655219519219393E-01 a       273     0    14     1    13
  6.5399342186620246E-02 a       274     0    14     1    14
 -1.5902535754477198E+00 a       275     0    14     1    15
 -1.8730758638929381E+00 a       276     0    14     1    16
  2.2374356745261839E-01 a       277     0    14     1    17
  3.9063890737431861E-01 a       278     0    14     1    18
  8.9584085121598586E-02 a       279     0    14     1    19
  4.7031001237525794E-01 a       280     0    14     1    20
 -1.1774385156498603E-01 a       281     0    15     1     1
  3.5928988954171931E-01 a       282     0    15     1     2
 -5.1039982495113849E-03 a       283     0    15     1     3
 -6.8156354854722256E-01 a       284     0    15     1     4
 -4.0768806853313883E-01 a       285     0    15     1     5
  4.4926994581210622E-01 a       286     0    15     1     6
 -6.5708089861053545E-02 a       287     0    15     1     7
 -6.4400142646625302E-01 a       288     0    15     1     8
  3.2258003041353366E-02 a       289     0    15     1     9
 -8.3904997879960763E-01 a       290     0    15     1    10
 -1.3346899159819062E-01 a       291     0    15     1    11
  5.2205812543894545E-02 a       292     0    15     1    12
  7.4086661205581339E-01 a       293     0    15     1    13
 -1.1395992500657315E-01 a       294     0    15     1    14
 -9.3300453525673011E-01 a       295     0    15     1    15
 -1.2497037481339193E+00 a       296     0    15     1    16
  1.5421604631602998E-01 a       297     0    15     1    17
  2.2127548297220334E-01 a       298     0    15     1    18
  7.9236987335577672E-02 a       299     0    15     1    19
  4.9104406536060402E-01 a       300     0    15     1    20
 -3.0896522353516673E-02 a       301     0    16     1     1
  2.1625254746941414E-01 a       302     0    16     1     2
  9.2825363019784196E-02 a       303     0    16     1     3
 -2.9065170520014050E-01 a       304     0    16     1     4
 -5.1873420637583634E-01 a       305     0    16     1     5
  5.6857728320038525E-01 a       306     0    16     1     6
  2.1965719184575092E-01 a       307     0    16     1     7
 -5.5952101818913380E-01 a       308     0    16     1     8
 -1.3563456056579060E-01 a       309     0    16     1     9
 -6.2259021324068886E-01 a       310     0    16     1    10
  1.4654669404149648E-01 a       311     0    16     1    11
  3.9158922555198827E-01 a       312     0    16     1    12
 -1.2208995071333774E-01 a       313     0    16     1    13
 -6.3635747812061061E-01 a       314     0    16     1    14
  3.0916941913828733E-01 a       315     0    16     1    15
 -8.5811849262233841E-01 a       316     0    16     1    16
  3.8134064609089621E-02 a       317     0    16     1    17
  3.0292875034276689E-01 a       318     0    16     1    18
  3.0094781407630578E-01 a       319     0    16     1    19
  5.6235324993109237E-01 a       320     0    16     1    20
 -1.6382383239409243E-01 a       321     0    17     1     1
  1.9969939245789167E-01 a       322     0    17     1     2
  9.0212833461774600E-01 a       323     0    17     1     3
 -5.1274164684165173E-02 a       324     0    17     1     4
 -3.4408221285778334E-01 a       325     0    17     1     5
  9.5055054129326355E-02 a       326     0    17     1     6
  1.9224760841796490E-01 a       327     0    17     1     7
 -4.5698505408384033E-01 a       328     0    17     1     8
 -7.9889754877983013E-02 a       329     0    17     1     9
 -7.6459698410545840E-01 a       330     0    17     1    10
 -1.0068361815165520E-01 a       331     0    17     1    11
  7.5319037176256776E-01 a       332     0    17     1    12
 -7.5353954365130360E-01 a       333     0    17     1    13
 -7.7110712007900173E-01 a       334     0    17     1    14
  1.0515473249910132E+00 a       335     0    17     1    15
 -2.5986542452230793E-01 a       336     0    17     1    16
 -4.4670799502435932E-01 a       337     0    17     1    17
  5.1040073374652095E-01 a       338     0    17     1    18
 -1.4316229199598604E-01 a       339     0    17     1    19
 -4.1732211559888086E-02 a       340     0    17     1    20
 -1.8837586127316180E-01 a       341     0    18     1     1
  1.1294610375172648E-01 a       342     0    18     1     2
  1.0891737528716519E+00 a       343     0    18     1     3
  3.7218881874284632E-01 a       344     0    18     1     4
 -7.0056409124511915E-03 a       345     0    18     1     5
  2.1647714615137979E-03 a       346     0    18     1     6
  3.9086754811030838E-01 a       347     0    18     1     7
 -3.1531908570366740E-01 a       348     0    18     1     8
  9.9992487936321442E-02 a       349     0    18     1     9
 -6.7707773434504237E-01 a       350     0    18     1    10
  1.3308630150369170E-02 a       351     0    18     1    11
  1.4212879553898012E+00 a       352     0    18     1    12
 -1.4472343329033852E+00 a       353     0    18     1    13
 -1.1607956087379570E+00 a       354     0    18     1    14
  1.9544132057347741E+00 a       355     0    18     1    15
  5.1324847752756986E-01 a       356     0    18     1    16
 -4.0919888350274436E-01 a       357     0    18     1    17
  6.3967753674179784E-01 a       358     0    18     1    18
 -1.2766385541068811E-02 a       359     0    18     1    19
 -1.8922683448719502E-01 a       360     0    18     1    20
 -1.5457540987323354E-01 a       361     0    19     1     1
  1.8546210672587457E-01 a       362     0    19     1     2
  1.2109304438136208E+00 a       363     0    19     1     3
  5.1543376885683168E-01 a       364     0    19     1     4
  1.8275800204192930E-01 a       365     0    19     1     5
 -3.1948208369296982E-01 a       366     0    19     1     6
  1.0554566724754105E-01 a       367     0    19     1     7
 -7.3079118234467916E-02 a       368     0    19     1     8
  1.3308895472067672E-01 a       369     0    19     1     9
 -4.1537249947744503E-01 a       370     0    19     1    10
 -2.9046441477503104E-01 a       371     0    19     1    11
  1.6381174720705118E+00 a       372     0    19     1    12
 -1.8338476400316217E+00 a       373     0    19     1    13
 -1.2550230014944777E+00 a       374     0    19     1    14
  2.6434462158407053E+00 a       375     0    19     1    15
  1.1179564023474557E+00 a       376     0    19     1    16
 -8.7621292516808336E-01 a       377     0    19     1    17
  8.1363065842516735E-01 a       378     0    19     1    18
  8.3337697490985532E-02 a       379     0    19     1    19
 -3.0565293699074159E-01 a       380     0    19     1    20
 -3.1849409864552723E-02 a       381     0    20     1     1
 -1.0075516804343368E-01 a       382     0    20     1     2
  1.7252752269119143E+00 a       383     0    20     1     3
  5.3762073103469221E-01 a       384     0    20     1     4
  3.3621210561462184E-01 a       385     0    20     1     5
  2.0486783171335683E-02 a       386     0    20     1     6
 -1.7065494890388588E-01 a       387     0    20     1     7
 -7.9100647332115623E-02 a       388     0    20     1     8
 -4.7805786697566695E-02 a       389     0    20     1     9
  5.3062112902859896E-03 a       390     0    20     1    10
 -3.4477284113580683E-02 a       391     0    20     1    11
  1.7402034946302680E+00 a       392     0    20     1    12
 -2.6814887154050102E+00 a       393     0    20     1    13
 -1.8315066195963206E+00 a       394     0    20     1    14
  3.1350844968538341E+00 a       395     0    20     1    15
  1.8198740182822517E+00 a       396     0    20     1    16
 -9.6358167707448805E-01 a       397     0    20     1    17
  1.2837260503441870E+00 a       398     0    20     1    18
  2.0449535385245590E-02 a       399     0    20     1    19
  8.0345653801711603E-02 a       400     0    20     1    20
  2.0744746338019371E-01 a       401     0    21     1     1
 -2.4116517305865326E-01 a       402     0    21     1     2
  1.2990245974304506E-02 a       403     0    21     1     3
  1.0059597052818441E-01 a       404     0    21     1     4
  1.7854421891975888E-01 a       405     0    21     1     5
  1.5898161995492426E-02 a       406     0    21     1     6
  6.9130752457509978E-02 a       407     0    21     1     7
  2.5144970806966616E-01 a       408     0    21     1     8
 -2.6498931028461070E-01 a       409     0    21     1     9
  2.1980852237705373E-01 a       410     0    21     1    10
 -1.8053673068116519E-01 a       411     0    21     1    11
  1.6929767677905663E-01 a       412     0    21     1    12
  4.4408205003886288E-03 a       413     0    21     1    13
  3.4602583979371837E-01 a       414     0    21     1    14
  1.4824485459859954E-01 a       415     0    21     1    15
 -3.1552593781727289E-01 a       416     0    21     1    16
 -4.5377344798445893E-02 a       417     0    21     1    17
 -1.0829020251579398E-01 a       418     0    21     1    18
 -1.2924845686310099E-01 a       419     0    21     1    19
 -2.3556938150895176E-01 a       420     0    21     1    20
 -2.9010783330757234E-01 a       421     0    22     1     1
 -7.4802102556406208E-02 a       422     0    22     1     2
 -1.4074213641317529E-01 a       423     0    22     1     3
 -2.4421789232541261E-01 a       424     0    22     1     4
 -3.2694987921267060E-01 a       425     0    22     1     5
  1.1157912472269814E-01 a       426     0    22     1     6
  1.7324644057246946E-01 a       427     0    22     1     7
  1.8437464623025476E-01 a       428     0    22     1     8
 -2.8823275932984960E-01 a       429     0    22     1     9
 -3.0122630323252730E-01 a       430     0    22     1    10
  2.5428720580007260E-03 a       431     0    22     1    11
 -3.5552692073424208E-01 a       432     0    22     1    12
